Year,Jurisdiction,Average scale score,"Race/ethnicity used to report trends, school-reported"
2024,Albuquerque                   ,‡,Black
,Atlanta                       ,246,Black
,Austin                        ,‡,Black
,Baltimore City                ,240,Black
,Boston                        ,250,Black
,Charlotte                     ,259,Black
,Chicago                       ,252,Black
,Clark County (NV)             ,242,Black
,Cleveland                     ,237,Black
,Dallas                        ,247,Black
,Denver                        ,251,Black
,Detroit                       ,234,Black
,District of Columbia (DCPS)   ,243,Black
,Duval County (FL)             ,248,Black
,Fort Worth                    ,239,Black
,Guilford County (NC)          ,252,Black
,Hillsborough County (FL)      ,255,Black
,Houston                       ,255,Black
,Jefferson County (KY)         ,237,Black
,Los Angeles                   ,240,Black
,Miami                         ,251,Black
,Milwaukee                     ,230,Black
,New York City                 ,256,Black
,Orange County (FL)            ,251,Black
,Philadelphia                  ,240,Black
,San Diego                     ,‡,Black
,Albuquerque                   ,249,Hispanic
,Atlanta                       ,‡,Hispanic
,Austin                        ,253,Hispanic
,Baltimore City                ,248,Hispanic
,Boston                        ,251,Hispanic
,Charlotte                     ,259,Hispanic
,Chicago                       ,262,Hispanic
,Clark County (NV)             ,253,Hispanic
,Cleveland                     ,247,Hispanic
,Dallas                        ,260,Hispanic
,Denver                        ,247,Hispanic
,Detroit                       ,249,Hispanic
,District of Columbia (DCPS)   ,254,Hispanic
,Duval County (FL)             ,252,Hispanic
,Fort Worth                    ,249,Hispanic
,Guilford County (NC)          ,258,Hispanic
,Hillsborough County (FL)      ,258,Hispanic
,Houston                       ,258,Hispanic
,Jefferson County (KY)         ,250,Hispanic
,Los Angeles                   ,252,Hispanic
,Miami                         ,269,Hispanic
,Milwaukee                     ,248,Hispanic
,New York City                 ,251,Hispanic
,Orange County (FL)            ,260,Hispanic
,Philadelphia                  ,242,Hispanic
,San Diego                     ,256,Hispanic
,Albuquerque                   ,285,White
,Atlanta                       ,308,White
,Austin                        ,297,White
,Baltimore City                ,279,White
,Boston                        ,296,White
,Charlotte                     ,309,White
,Chicago                       ,301,White
,Clark County (NV)             ,283,White
,Cleveland                     ,257,White
,Dallas                        ,‡,White
,Denver                        ,303,White
,Detroit                       ,‡,White
,District of Columbia (DCPS)   ,329,White
,Duval County (FL)             ,278,White
,Fort Worth                    ,288,White
,Guilford County (NC)          ,295,White
,Hillsborough County (FL)      ,278,White
,Houston                       ,299,White
,Jefferson County (KY)         ,274,White
,Los Angeles                   ,284,White
,Miami                         ,289,White
,Milwaukee                     ,284,White
,New York City                 ,284,White
,Orange County (FL)            ,284,White
,Philadelphia                  ,279,White
,San Diego                     ,295,White
,Nation,284,White
,Nation,257,Hispanic
,Nation,251,Black
2022,National,285,White
,,253,Black
,,261,Hispanic
,,304,Asian/Pacific Islander
,,258,American Indian/Alaska Native
,,276,Two or more races
,Albuquerque,282,White
,,‡,Black
,,255,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Atlanta,308,White
,,252,Black
,,‡,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Austin,296,White
,,‡,Black
,,257,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Baltimore City,281,White
,,240,Black
,,249,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Boston,305,White
,,253,Black
,,255,Hispanic
,,314,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Charlotte,305,White
,,264,Black
,,265,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Chicago,291,White
,,250,Black
,,263,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Clark County (NV),287,White
,,244,Black
,,260,Hispanic
,,285,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,270,Two or more races
,Cleveland,266,White
,,238,Black
,,242,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Dallas,‡,White
,,249,Black
,,261,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Denver,297,White
,,255,Black
,,251,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Detroit,‡,White
,,234,Black
,,249,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,District of Columbia (DCPS),316,White
,,244,Black
,,253,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Duval County (FL),282,White
,,257,Black
,,261,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Fort Worth (TX),282,White
,,247,Black
,,259,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Guilford County (NC),290,White
,,256,Black
,,263,Hispanic
,,291,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Hillsborough County (FL),283,White
,,249,Black
,,262,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Houston,296,White
,,253,Black
,,261,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Jefferson County (KY),278,White
,,245,Black
,,257,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Los Angeles,285,White
,,247,Black
,,254,Hispanic
,,304,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Miami-Dade,291,White
,,264,Black
,,275,Hispanic
,,‡,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Milwaukee,272,White
,,232,Black
,,253,Hispanic
,,262,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,New York City,296,White
,,247,Black
,,254,Hispanic
,,303,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,Philadelphia,278,White
,,241,Black
,,245,Hispanic
,,292,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
,,‡,Two or more races
,San Diego,294,White
,,252,Black
,,258,Hispanic
,,294,Asian/Pacific Islander
,,‡,American Indian/Alaska Native
