year,jurisdiction,average_scale_score,race_ethnicity_used_to_report_trends_school_reported
2024,Albuquerque,‡,American Indian/Alaska Native
2024,Atlanta,‡,American Indian/Alaska Native
2024,Austin,‡,American Indian/Alaska Native
2024,Baltimore City,‡,American Indian/Alaska Native
2024,Boston,‡,American Indian/Alaska Native
2024,Charlotte,‡,American Indian/Alaska Native
2024,Chicago,‡,American Indian/Alaska Native
2024,Clark County (NV),‡,American Indian/Alaska Native
2024,Cleveland,‡,American Indian/Alaska Native
2024,Dallas,‡,American Indian/Alaska Native
2024,Denver,‡,American Indian/Alaska Native
2024,Detroit,‡,American Indian/Alaska Native
2024,District of Columbia (DCPS),‡,American Indian/Alaska Native
2024,Duval County (FL),‡,American Indian/Alaska Native
2024,Fort Worth,‡,American Indian/Alaska Native
2024,Guilford County (NC),‡,American Indian/Alaska Native
2024,Hillsborough County (FL),‡,American Indian/Alaska Native
2024,Houston,‡,American Indian/Alaska Native
2024,Jefferson County (KY),‡,American Indian/Alaska Native
2024,Los Angeles,‡,American Indian/Alaska Native
2024,Miami,‡,American Indian/Alaska Native
2024,Milwaukee,‡,American Indian/Alaska Native
2024,New York City,‡,American Indian/Alaska Native
2024,Orange County (FL),‡,American Indian/Alaska Native
2024,Philadelphia,‡,American Indian/Alaska Native
2024,San Diego,‡,American Indian/Alaska Native
2024,Albuquerque,‡,Asian/Pacific Islander
2024,Atlanta,‡,Asian/Pacific Islander
2024,Austin,‡,Asian/Pacific Islander
2024,Baltimore City,‡,Asian/Pacific Islander
2024,Boston,235.23756,Asian/Pacific Islander
2024,Charlotte,233.675825,Asian/Pacific Islander
2024,Chicago,229.388547,Asian/Pacific Islander
2024,Clark County (NV),228.939061,Asian/Pacific Islander
2024,Cleveland,‡,Asian/Pacific Islander
2024,Dallas,‡,Asian/Pacific Islander
2024,Denver,‡,Asian/Pacific Islander
2024,Detroit,‡,Asian/Pacific Islander
2024,District of Columbia (DCPS),‡,Asian/Pacific Islander
2024,Duval County (FL),‡,Asian/Pacific Islander
2024,Fort Worth,‡,Asian/Pacific Islander
2024,Guilford County (NC),222.921151,Asian/Pacific Islander
2024,Hillsborough County (FL),‡,Asian/Pacific Islander
2024,Houston,‡,Asian/Pacific Islander
2024,Jefferson County (KY),‡,Asian/Pacific Islander
2024,Los Angeles,241.988244,Asian/Pacific Islander
2024,Miami,‡,Asian/Pacific Islander
2024,Milwaukee,185.725951,Asian/Pacific Islander
2024,New York City,231.11619,Asian/Pacific Islander
2024,Orange County (FL),‡,Asian/Pacific Islander
2024,Philadelphia,216.564129,Asian/Pacific Islander
2024,San Diego,234.819176,Asian/Pacific Islander
2024,Albuquerque,‡,Black
2024,Atlanta,196.586865,Black
2024,Austin,‡,Black
2024,Baltimore City,184.261355,Black
2024,Boston,200.050904,Black
2024,Charlotte,202.718519,Black
2024,Chicago,190.153972,Black
2024,Clark County (NV),199.224897,Black
2024,Cleveland,178.93856,Black
2024,Dallas,186.646896,Black
2024,Denver,207.750867,Black
2024,Detroit,173.088619,Black
2024,District of Columbia (DCPS),192.625176,Black
2024,Duval County (FL),197.913014,Black
2024,Fort Worth,183.160364,Black
2024,Guilford County (NC),197.850203,Black
2024,Hillsborough County (FL),204.18233,Black
2024,Houston,199.509405,Black
2024,Jefferson County (KY),195.799294,Black
2024,Los Angeles,189.250511,Black
2024,Miami,207.444503,Black
2024,Milwaukee,169.547376,Black
2024,New York City,198.376092,Black
2024,Orange County (FL),201.595834,Black
2024,Philadelphia,188.535604,Black
2024,San Diego,‡,Black
2024,Albuquerque,192.766127,Hispanic
2024,Atlanta,212.439905,Hispanic
2024,Austin,195.090409,Hispanic
2024,Baltimore City,175.762284,Hispanic
2024,Boston,201.276088,Hispanic
2024,Charlotte,199.079515,Hispanic
2024,Chicago,201.488457,Hispanic
2024,Clark County (NV),200.632889,Hispanic
2024,Cleveland,187.443397,Hispanic
2024,Dallas,202.732022,Hispanic
2024,Denver,200.802909,Hispanic
2024,Detroit,179.973122,Hispanic
2024,District of Columbia (DCPS),211.808094,Hispanic
2024,Duval County (FL),203.669899,Hispanic
2024,Fort Worth,198.351005,Hispanic
2024,Guilford County (NC),205.856081,Hispanic
2024,Hillsborough County (FL),208.892449,Hispanic
2024,Houston,199.809732,Hispanic
2024,Jefferson County (KY),202.622575,Hispanic
2024,Los Angeles,198.202209,Hispanic
2024,Miami,219.372978,Hispanic
2024,Milwaukee,180.397056,Hispanic
2024,New York City,191.343616,Hispanic
2024,Orange County (FL),212.935754,Hispanic
2024,Philadelphia,177.40652,Hispanic
2024,San Diego,210.160697,Hispanic
2024,Albuquerque,‡,Two or More Races
2024,Atlanta,‡,Two or More Races
2024,Austin,‡,Two or More Races
2024,Baltimore City,‡,Two or More Races
2024,Boston,‡,Two or More Races
2024,Charlotte,‡,Two or More Races
2024,Chicago,‡,Two or More Races
2024,Clark County (NV),232.063479,Two or More Races
2024,Cleveland,‡,Two or More Races
2024,Dallas,‡,Two or More Races
2024,Denver,231.558102,Two or More Races
2024,Detroit,‡,Two or More Races
2024,District of Columbia (DCPS),‡,Two or More Races
2024,Duval County (FL),‡,Two or More Races
2024,Fort Worth,‡,Two or More Races
2024,Guilford County (NC),‡,Two or More Races
2024,Hillsborough County (FL),234.217077,Two or More Races
2024,Houston,‡,Two or More Races
2024,Jefferson County (KY),‡,Two or More Races
2024,Los Angeles,‡,Two or More Races
2024,Miami,‡,Two or More Races
2024,Milwaukee,‡,Two or More Races
2024,New York City,‡,Two or More Races
2024,Orange County (FL),‡,Two or More Races
2024,Philadelphia,‡,Two or More Races
2024,San Diego,242.06548,Two or More Races
2024,Albuquerque,226.271161,White
2024,Atlanta,257.47228,White
2024,Austin,241.92853,White
2024,Baltimore City,‡,White
2024,Boston,245.128108,White
2024,Charlotte,241.645461,White
2024,Chicago,237.182538,White
2024,Clark County (NV),224.174132,White
2024,Cleveland,193.603535,White
2024,Dallas,‡,White
2024,Denver,246.312465,White
2024,Detroit,‡,White
2024,District of Columbia (DCPS),261.666031,White
2024,Duval County (FL),225.645727,White
2024,Fort Worth,222.05678,White
2024,Guilford County (NC),231.670241,White
2024,Hillsborough County (FL),235.286146,White
2024,Houston,243.649246,White
2024,Jefferson County (KY),223.149623,White
2024,Los Angeles,233.58607,White
2024,Miami,237.312339,White
2024,Milwaukee,219.972289,White
2024,New York City,228.88517,White
2024,Orange County (FL),235.206742,White
2024,Philadelphia,217.024766,White
2024,San Diego,239.98228,White
2024,Nation,198,Black
2024,Nation,203,Hispanic
2024,Nation,224,White
2022,National,227,White
2022,National,199,Black
2022,National,205,Hispanic
2022,National,239,Asian/Pacific Islander
2022,National,197,American Indian/Alaska Native
2022,National,223,Two or more races
2022,Albuquerque,227,White
2022,Albuquerque,‡,Black
2022,Albuquerque,197,Hispanic
2022,Albuquerque,‡,Asian/Pacific Islander
2022,Albuquerque,‡,American Indian/Alaska Native
2022,Albuquerque,‡,Two or more races
2022,Atlanta,246,White
2022,Atlanta,190,Black
2022,Atlanta,215,Hispanic
2022,Atlanta,‡,Asian/Pacific Islander
2022,Atlanta,‡,American Indian/Alaska Native
2022,Atlanta,‡,Two or more races
2022,Austin,251,White
2022,Austin,‡,Black
2022,Austin,203,Hispanic
2022,Austin,‡,Asian/Pacific Islander
2022,Austin,‡,American Indian/Alaska Native
2022,Austin,‡,Two or more races
2022,Baltimore City,‡,White
2022,Baltimore City,186,Black
2022,Baltimore City,171,Hispanic
2022,Baltimore City,‡,Asian/Pacific Islander
2022,Baltimore City,‡,American Indian/Alaska Native
2022,Baltimore City,‡,Two or more races
2022,Boston,242,White
2022,Boston,199,Black
2022,Boston,201,Hispanic
2022,Boston,237,Asian/Pacific Islander
2022,Boston,‡,American Indian/Alaska Native
2022,Boston,‡,Two or more races
2022,Charlotte,247,White
2022,Charlotte,202,Black
2022,Charlotte,196,Hispanic
2022,Charlotte,242,Asian/Pacific Islander
2022,Charlotte,‡,American Indian/Alaska Native
2022,Charlotte,‡,Two or more races
2022,Chicago,239,White
2022,Chicago,194,Black
2022,Chicago,202,Hispanic
2022,Chicago,‡,Asian/Pacific Islander
2022,Chicago,‡,American Indian/Alaska Native
2022,Chicago,‡,Two or more races
2022,Clark County (NV),223,White
2022,Clark County (NV),190,Black
2022,Clark County (NV),204,Hispanic
2022,Clark County (NV),234,Asian/Pacific Islander
2022,Clark County (NV),‡,American Indian/Alaska Native
2022,Clark County (NV),206,Two or more races
2022,Cleveland,191,White
2022,Cleveland,175,Black
2022,Cleveland,182,Hispanic
2022,Cleveland,‡,Asian/Pacific Islander
2022,Cleveland,‡,American Indian/Alaska Native
2022,Cleveland,‡,Two or more races
2022,Dallas,‡,White
2022,Dallas,194,Black
2022,Dallas,200,Hispanic
2022,Dallas,‡,Asian/Pacific Islander
2022,Dallas,‡,American Indian/Alaska Native
2022,Dallas,‡,Two or more races
2022,Denver,243,White
2022,Denver,202,Black
2022,Denver,196,Hispanic
2022,Denver,‡,Asian/Pacific Islander
2022,Denver,‡,American Indian/Alaska Native
2022,Denver,‡,Two or more races
2022,Detroit,‡,White
2022,Detroit,175,Black
2022,Detroit,184,Hispanic
2022,Detroit,‡,Asian/Pacific Islander
2022,Detroit,‡,American Indian/Alaska Native
2022,Detroit,‡,Two or more races
2022,District of Columbia (DCPS),266,White
2022,District of Columbia (DCPS),197,Black
2022,District of Columbia (DCPS),204,Hispanic
2022,District of Columbia (DCPS),‡,Asian/Pacific Islander
2022,District of Columbia (DCPS),‡,American Indian/Alaska Native
2022,District of Columbia (DCPS),‡,Two or more races
2022,Duval County (FL),227,White
2022,Duval County (FL),202,Black
2022,Duval County (FL),208,Hispanic
2022,Duval County (FL),‡,Asian/Pacific Islander
2022,Duval County (FL),‡,American Indian/Alaska Native
2022,Duval County (FL),‡,Two or more races
2022,Fort Worth (TX),231,White
2022,Fort Worth (TX),195,Black
2022,Fort Worth (TX),196,Hispanic
2022,Fort Worth (TX),‡,Asian/Pacific Islander
2022,Fort Worth (TX),‡,American Indian/Alaska Native
2022,Fort Worth (TX),‡,Two or more races
2022,Fresno,—,White
2022,Fresno,—,Black
2022,Fresno,—,Hispanic
2022,Fresno,—,Asian/Pacific Islander
2022,Fresno,—,American Indian/Alaska Native
2022,Fresno,—,Two or more races
2022,Guilford County (NC),233,White
2022,Guilford County (NC),201,Black
2022,Guilford County (NC),202,Hispanic
2022,Guilford County (NC),223,Asian/Pacific Islander
2022,Guilford County (NC),‡,American Indian/Alaska Native
2022,Guilford County (NC),‡,Two or more races
2022,Hillsborough County (FL),239,White
2022,Hillsborough County (FL),210,Black
2022,Hillsborough County (FL),222,Hispanic
2022,Hillsborough County (FL),‡,Asian/Pacific Islander
