year,jurisdiction,all_students,average_scale_score
2022,National,All students,274
2022,Albuquerque,All students,260
2022,Atlanta,All students,263
2022,Austin,All students,273
2022,Baltimore City,All students,245
2022,Boston,All students,270
2022,Charlotte,All students,278
2022,Chicago,All students,263
2022,Clark County (NV),All students,267
2022,Cleveland,All students,245
2022,Dallas,All students,260
2022,Denver,All students,265
2022,Detroit,All students,238
2022,District of Columbia (DCPS),All students,257
2022,Duval County (FL),All students,269
2022,Fort Worth (TX),All students,259
2022,Guilford County (NC),All students,270
2022,Hillsborough County (FL),All students,269
2022,Houston,All students,265
2022,Jefferson County (KY),All students,263
2022,Los Angeles,All students,262
2022,Miami-Dade,All students,274
2022,Milwaukee,All students,246
2022,New York City,All students,269
2022,Philadelphia,All students,252
2022,San Diego,All students,274
2022,Shelby County (TN),All students,251
2019,National,All students,282
2019,Albuquerque,All students,267
2019,Atlanta,All students,268
2019,Austin,All students,282
2019,Baltimore City,All students,254
2019,Boston,All students,279
2019,Charlotte,All students,288
2019,Chicago,All students,275
2019,Clark County (NV),All students,272
2019,Cleveland,All students,253
2019,Dallas,All students,264
2019,Denver,All students,275
2019,Detroit,All students,244
2019,District of Columbia (DCPS),All students,269
2019,Duval County (FL),All students,274
2019,Fort Worth (TX),All students,265
2019,Guilford County (NC),All students,280
2019,Hillsborough County (FL),All students,276
2019,Houston,All students,274
2019,Jefferson County (KY),All students,273
2019,Los Angeles,All students,261
2019,Miami-Dade,All students,276
2019,Milwaukee,All students,252
2019,New York City,All students,273
2019,Philadelphia,All students,256
2019,San Diego,All students,283
2019,Shelby County (TN),All students,265
