year,jurisdiction,race_ethnicity_used_to_report_trends_school_reported,average_scale_score
2022,National,White,268
2022,National,Black,244
2022,National,Hispanic,251
2022,National,Asian/Pacific Islander,281
2022,National,American Indian/Alaska Native,246
2022,National,Two or more races,265
2022,Albuquerque,White,274
2022,Albuquerque,Black,‡
2022,Albuquerque,Hispanic,241
2022,Albuquerque,Asian/Pacific Islander,‡
2022,Albuquerque,American Indian/Alaska Native,‡
2022,Albuquerque,Two or more races,‡
2022,Atlanta,White,296
2022,Atlanta,Black,243
2022,Atlanta,Hispanic,‡
2022,Atlanta,Asian/Pacific Islander,‡
2022,Atlanta,American Indian/Alaska Native,‡
2022,Atlanta,Two or more races,‡
2022,Austin,White,273
2022,Austin,Black,‡
2022,Austin,Hispanic,242
2022,Austin,Asian/Pacific Islander,‡
2022,Austin,American Indian/Alaska Native,‡
2022,Austin,Two or more races,‡
2022,Baltimore City,White,‡
2022,Baltimore City,Black,237
2022,Baltimore City,Hispanic,240
2022,Baltimore City,Asian/Pacific Islander,‡
2022,Baltimore City,American Indian/Alaska Native,‡
2022,Baltimore City,Two or more races,‡
2022,Boston,White,286
2022,Boston,Black,242
2022,Boston,Hispanic,245
2022,Boston,Asian/Pacific Islander,281
2022,Boston,American Indian/Alaska Native,‡
2022,Boston,Two or more races,‡
2022,Charlotte,White,277
2022,Charlotte,Black,245
2022,Charlotte,Hispanic,248
2022,Charlotte,Asian/Pacific Islander,294
2022,Charlotte,American Indian/Alaska Native,‡
2022,Charlotte,Two or more races,‡
2022,Chicago,White,270
2022,Chicago,Black,240
2022,Chicago,Hispanic,254
2022,Chicago,Asian/Pacific Islander,269
2022,Chicago,American Indian/Alaska Native,‡
2022,Chicago,Two or more races,‡
2022,Clark County (NV),White,268
2022,Clark County (NV),Black,241
2022,Clark County (NV),Hispanic,250
2022,Clark County (NV),Asian/Pacific Islander,276
2022,Clark County (NV),American Indian/Alaska Native,‡
2022,Clark County (NV),Two or more races,267
2022,Cleveland,White,251
2022,Cleveland,Black,231
2022,Cleveland,Hispanic,228
2022,Cleveland,Asian/Pacific Islander,‡
2022,Cleveland,American Indian/Alaska Native,‡
2022,Cleveland,Two or more races,‡
2022,Dallas,White,‡
2022,Dallas,Black,232
2022,Dallas,Hispanic,241
2022,Dallas,Asian/Pacific Islander,‡
2022,Dallas,American Indian/Alaska Native,‡
2022,Dallas,Two or more races,‡
2022,Denver,White,284
2022,Denver,Black,244
2022,Denver,Hispanic,243
2022,Denver,Asian/Pacific Islander,‡
2022,Denver,American Indian/Alaska Native,‡
2022,Denver,Two or more races,‡
2022,Detroit,White,‡
2022,Detroit,Black,225
2022,Detroit,Hispanic,236
2022,Detroit,Asian/Pacific Islander,‡
2022,Detroit,American Indian/Alaska Native,‡
2022,Detroit,Two or more races,‡
2022,District of Columbia (DCPS),White,292
2022,District of Columbia (DCPS),Black,241
2022,District of Columbia (DCPS),Hispanic,241
2022,District of Columbia (DCPS),Asian/Pacific Islander,‡
2022,District of Columbia (DCPS),American Indian/Alaska Native,‡
2022,District of Columbia (DCPS),Two or more races,‡
2022,Duval County (FL),White,273
2022,Duval County (FL),Black,246
2022,Duval County (FL),Hispanic,250
2022,Duval County (FL),Asian/Pacific Islander,‡
2022,Duval County (FL),American Indian/Alaska Native,‡
2022,Duval County (FL),Two or more races,‡
2022,Fort Worth (TX),White,271
2022,Fort Worth (TX),Black,233
2022,Fort Worth (TX),Hispanic,240
2022,Fort Worth (TX),Asian/Pacific Islander,‡
2022,Fort Worth (TX),American Indian/Alaska Native,‡
2022,Fort Worth (TX),Two or more races,‡
2022,Fresno,White,—
2022,Fresno,Black,—
2022,Fresno,Hispanic,—
2022,Fresno,Asian/Pacific Islander,—
2022,Fresno,American Indian/Alaska Native,—
2022,Fresno,Two or more races,—
2022,Guilford County (NC),White,266
2022,Guilford County (NC),Black,240
2022,Guilford County (NC),Hispanic,249
2022,Guilford County (NC),Asian/Pacific Islander,‡
2022,Guilford County (NC),American Indian/Alaska Native,‡
2022,Guilford County (NC),Two or more races,‡
2022,Hillsborough County (FL),White,268
2022,Hillsborough County (FL),Black,243
2022,Hillsborough County (FL),Hispanic,255
2022,Hillsborough County (FL),Asian/Pacific Islander,‡
2022,Hillsborough County (FL),American Indian/Alaska Native,‡
2022,Hillsborough County (FL),Two or more races,‡
2022,Houston,White,275
2022,Houston,Black,236
2022,Houston,Hispanic,244
2022,Houston,Asian/Pacific Islander,‡
2022,Houston,American Indian/Alaska Native,‡
2022,Houston,Two or more races,‡
2022,Jefferson County (KY),White,266
2022,Jefferson County (KY),Black,238
2022,Jefferson County (KY),Hispanic,251
2022,Jefferson County (KY),Asian/Pacific Islander,‡
2022,Jefferson County (KY),American Indian/Alaska Native,‡
2022,Jefferson County (KY),Two or more races,‡
2022,Los Angeles,White,284
2022,Los Angeles,Black,253
2022,Los Angeles,Hispanic,250
2022,Los Angeles,Asian/Pacific Islander,278
2022,Los Angeles,American Indian/Alaska Native,‡
2022,Los Angeles,Two or more races,‡
2022,Miami-Dade,White,285
2022,Miami-Dade,Black,255
2022,Miami-Dade,Hispanic,262
2022,Miami-Dade,Asian/Pacific Islander,‡
2022,Miami-Dade,American Indian/Alaska Native,‡
2022,Miami-Dade,Two or more races,‡
2022,Milwaukee,White,266
2022,Milwaukee,Black,227
2022,Milwaukee,Hispanic,242
2022,Milwaukee,Asian/Pacific Islander,259
2022,Milwaukee,American Indian/Alaska Native,‡
2022,Milwaukee,Two or more races,‡
2022,New York City,White,278
2022,New York City,Black,242
2022,New York City,Hispanic,244
2022,New York City,Asian/Pacific Islander,275
2022,New York City,American Indian/Alaska Native,‡
2022,New York City,Two or more races,‡
2022,Philadelphia,White,255
2022,Philadelphia,Black,238
2022,Philadelphia,Hispanic,231
2022,Philadelphia,Asian/Pacific Islander,275
2022,Philadelphia,American Indian/Alaska Native,‡
