subjects,grades,years,groups,Score
Reading,4,2022,Black,174
Reading,4,2019,Black,180
Reading,4,2009,Black,187
Reading,4,2019,Hispanic,188
Reading,4,2022,Hispanic,190
Math,4,2022,Black,195
Reading,4,2009,Hispanic,198
Math,4,2019,Black,206
Math,4,2022,Hispanic,207
Math,4,2009,Black,211
Math,4,2019,Hispanic,217
Reading,4,2019,White,221
Reading,4,2009,White,223
Reading,4,2022,White,224
Math,4,2009,Hispanic,226
Reading,8,2022,Black,227
Reading,8,2019,Black,228
Math,8,2022,Black,232
Reading,8,2009,Black,233
Math,4,2019,White,239
Math,4,2022,White,239
Math,8,2019,Black,242
Reading,8,2022,Hispanic,242
Math,4,2009,White,242
Math,8,2009,Black,244
Reading,8,2019,Hispanic,248
Reading,8,2009,Hispanic,249
Math,8,2022,Hispanic,253
Math,8,2009,Hispanic,256
Math,8,2019,Hispanic,259
Reading,8,2009,White,265
Reading,8,2022,White,266
Reading,8,2019,White,267
Math,8,2009,White,271
Math,8,2022,White,272
Math,8,2019,White,280
Math,4,2024,Black,193
Math,8,2024,Black,230
Reading,4,2024,Black,170
Reading,8,2024,Black,226
Math,4,2024,Hispanic,211
Math,8,2024,Hispanic,248
Reading,4,2024,Hispanic,180
Reading,8,2024,Hispanic,246
Math,4,2024,White,
Math,8,2024,White,284
Reading,4,2024,White,220
Reading,8,2024,White,272
